Codigo,Materia_Prima,Aplicacion,Diam_Exterior,Diam_Interior,Largo
AV 1001,503112,1,41.20,47.17,10.00
AV 1002,472812,2,38.20,44.17,11.00
AV 1003,543813,3,44.10,53.18,11.50
AV 1004,543813,4,41.00,47.18,11.50
AV 1011,433210,5,35.00,42.07,6.50
AV 1012,433210,6,29.00,36.00,6.50
AV 1035,433210,7,21.00,27.00,6.00
AV 1036,392610,8,19.80,25.00,6.00
AV 1047,392610,9,37.20,44.10,7.10
AV 1048,392610,10,30.90,37.50,7.10
AV 1049,311310,11,34.00,42.17,8.30
AV 1050,392910,12,30.00,36.15,6.30
AV 1105,543313,13,41.00,48.25,6.30
AV 4300,311310,14,23.00,35.00,8.00
AV 4310,392910,15,35.00,52.00,10.00
AV 4311,543313,16,36.00,46.00,9.00
AV 4312,321810,17,33.50,43.50,9.00
AV 4313,321810,18,31.00,41.00,8.00
AV 4314,321810,19,27.50,38.50,8.00
AV 4315,372610,20,26.00,36.50,8.00
AV 4316,624710,21,24.00,33.50,8.00
AV 4317,452912,22,20.00,30.01,8.00
AV 4318,463210,23,45.00,65.00,12.00
AV 4319,352309,24,35.00,52.01,11.00
AV 4320,54389.5,25,26.00,40.01,9.00
AV 4321,372610,26,30.00,44.01,10.00
AV 4322,624710,27,33.00,48.00,10.00
AV 4323,452912,28,24.00,34.01,8.00
AV 4324,463210,29,40.00,56.01,11.00
AV 4325,352309,30,26.00,37.00,8.00
AV 4326,54389.5,31,33.00,47.01,8.00
AV 4327,463210,32,35.00,52.00,12.00
AV 4328,503112,33,40.00,55.00,10.00
AV 4329,503112,34,23.00,35.01,9.00
AV 4330,503112,35,30.00,45.01,10.00
AV 4331,503112,36,45.00,60.00,11.00
AV 4332,472812,37,33.30,39.80,4.50
AV 4333,543813,38,33.20,39.83,5.50
AV 4334,543813,39,30.90,38.50,8.50
AV 4335,433210,40,15.00,29.00,9.00
AV 4336,433210,41,37.00,50.20,9.00
AV 4337,433210,42,39.00,50.20,9.00
AV 4338,392610,43,35.00,54.01,11.00
AV 4339,392610,44,35.00,56.01,11.00
AV 4340,392610,1,21.50,27.08,8.00
AV 4341,311310,2,20.05,25.02,6.50
AV 4342,392910,3,27.00,35.00,7.00
AV 4343,543313,4,27.00,36.00,7.00
AV 4344,311310,5,35.00,43.00,7.00
AV 4350B,392910,6,18.50,25.20,9.00
AV 4351B,543313,7,19.50,28.00,8.50
AV 4352B,321810,8,21.00,29.00,9.00
AV 4353B,321810,9,25.50,31.90,9.00
AV 4354B,321810,10,23.00,34.00,9.00
AV 4355,372610,11,33.60,41.21,6.60
AV 4356,624710,12,45.00,60.00,8.00
AV 4357,452912,13,,,
AV 8005,463210,14,47.15,56.18,11.75
AV 8006,352309,15,42.00,49.18,11.50
AV 8019,54389.5,16,50.85,61.09,8.00
AV 8020,372610,17,43.00,51.09,8.00
AV 8023,624710,18,36.20,45.67,9.90
AV 8024,452912,19,31.00,40.17,9.75
AV 8027,463210,20,36.30,44.01,8.00
AV 8028,352309,21,29.60,37.01,7.50
AV 8037,54389.5,22,30.50,35.15,6.00
AV 8038,463210,23,25.50,31.50,6.00
AV 8039,503112,24,30.10,35.65,9.20
AV 8040,503112,25,25.30,30.65,6.20
AV 8041,503112,26,31.70,39.60,7.00
AV 8042,503112,27,30.10,35.20,6.20
AV 8044,472812,28,28.00,33.75,7.00
AV 8049,543813,29,38.00,44.16,6.20
AV 8050,543813,30,31.00,37.16,6.20
AV 8051,433210,31,38.00,44.50,7.00
AV 8052,433210,32,27.00,34.00,7.00
AV 8053,433210,33,36.90,45.07,8.30
AV 8054,392610,34,28.00,38.07,8.50
AV 8055,392610,35,40.30,51.30,7.20
AV 8056,392610,36,31.70,42.67,9.50
AV 8059,311310,37,35.50,43.65,10.40
AV 8060,392910,38,30.50,37.20,7.00
AV 8061,543313,39,52.40,63.60,12.70
AV 8062,311310,40,50.80,63.60,12.70
AV 8063,392910,41,57.95,65.79,15.88
AV 8064,543313,42,53.98,61.85,15.88
AV 8069,321810,43,45.97,54.07,11.12
AV 8070,321810,44,42.92,51.10,11.12
AV 8071,321810,1,47.23,54.61,7.42
AV 8072,372610,2,41.27,48.56,7.14
AV 8073,624710,3,39.68,46.02,9.27
AV 8074,452912,4,36.50,42.85,9.27
AV 8081,463210,5,25.20,32.03,6.33
AV 8092,352309,6,52.00,62.00,7.55
AV 8093,54389.5,7,43.00,52.98,7.55
AV 8094,372610,8,29.00,35.15,8.10
AV 8095,624710,9,27.70,33.15,8.00
AV 8096,452912,10,29.00,35.00,7.80
AV 8097,463210,11,27.50,33.10,7.30
AV 8098,352309,12,32.50,39.01,8.40
AV 8099,54389.5,13,27.30,33.55,8.00
AV 8100,463210,14,37.00,45.07,8.30
AV 8101,503112,15,39.30,47.12,8.50
AV 8105,503112,16,42.00,55.00,10.00
AV 8106,503112,17,39.00,49.00,10.00
AV 8107,503112,18,39.10,46.19,6.23
AV 8108,472812,19,39.20,46.19,7.50
AV 8109,543813,20,35.35,42.10,7.47
AV 8116,543813,21,40.90,47.20,5.30
AV 8117,433210,22,36.00,41.61,5.50
AV 8119,433210,23,47.50,56.00,7.40
AV 8120,433210,24,40.60,52.03,10.30
AV 8123,392610,25,51.00,61.12,9.40
AV 8124,392610,26,43.10,53.11,9.70
AV 8159,392610,27,33.60,40.15,6.25
AV 8160,311310,28,28.80,34.13,5.55
AV 8162,392910,29,30.00,36.08,7.00
AV 8171,543313,30,37.00,51.07,7.47
AV 8172,311310,31,31.00,40.07,7.47
AV 8185,392910,32,51.10,60.12,9.40
AV 8189,543313,33,34.00,42.08,8.00
AV 8190,321810,34,29.00,36.06,7.00
AV 8194,321810,35,37.00,51.07,7.47
AV 8196,321810,36,34.50,43.88,7.70
AV 8198,372610,37,47.70,56.00,7.75
AV 8210,624710,38,30.00,36.65,8.50
AV 8211,452912,39,27.00,32.65,9.00
AV 8212,463210,40,33.00,38.35,9.50
AV 8213,352309,41,35.60,40.15,9.50
AV 8214,54389.5,42,33.60,39.10,9.50
AV 8215,372610,43,29.50,35.10,9.50
AV 8216,624710,44,28.00,34.65,9.50
AV 8217,452912,1,26.00,32.10,9.50
AV 8218,463210,2,34.60,43.16,7.00
AV 8219,352309,3,33.00,39.09,7.00
AV 8220,54389.5,4,37.00,46.15,7.50
AV 8221,463210,5,31.10,39.15,7.50
AV 8316,503112,6,49.00,59.12,6.75
AV 8317,503112,7,45.00,56.60,9.50
AV 8318,503112,8,44.50,54.11,6.75
AV 8319,503112,9,40.10,51.11,9.50
AV 8320,472812,10,44.30,54.06,6.70
AV 8321,543813,11,40.00,49.06,11.50
AV 8325,543813,12,31.70,39.50,7.00
AV 8326,433210,13,26.00,33.00,7.00
AV 8327,433210,14,39.00,46.00,7.00
AV 8328,433210,15,31.70,39.50,7.00
AV 8329,392610,16,36.50,44.00,8.00
AV 8330,392610,17,29.70,38.70,7.00
AV 8331,392610,18,36.20,40.49,8.00
AV 8332,311310,19,30.80,38.09,8.40
AV 8335,392910,20,62.22,76.24,14.00
AV 8336,543313,21,54.00,62.03,8.00
AV 8337,311310,22,45.00,53.06,9.51
AV 8338,392910,23,42.00,50.03,6.14
AV 8339,543313,24,33.80,41.03,7.00
AV 8340,321810,25,52.00,58.55,4.08
AV 8341,321810,26,43.00,51.10,7.52
AV 8342,321810,27,39.00,48.10,6.50
AV 8343,372610,28,30.00,39.10,7.50
AV 8344,624710,29,33.00,41.10,7.50
AV 8345,452912,30,29.00,33.15,7.50
AV 8346,463210,31,37.00,43.65,6.00
AV 8347,352309,32,30.00,36.15,6.00
AV 8348,54389.5,33,31.00,40.20,6.00
AV 8349,372610,34,26.50,34.20,6.00
AV 8350,624710,35,42.00,52.10,7.70
AV 8351,452912,36,36.50,45.60,7.70
AV 8352,463210,37,50.00,61.00,10.00
AV 8353,352309,38,45.00,55.00,9.00
AV 8354,54389.5,39,49.30,55.35,7.40
AV 8355,463210,40,39.00,52.00,10.30
AV 8356,503112,41,37.00,44.70,10.00
AV 8357,503112,42,31.00,37.20,7.00
AV 8358,503112,43,27.00,32.70,7.00
AV 8359,503112,44,42.90,50.88,7.10
AV 8360,472812,1,38.60,46.02,5.70
AV 8361,543813,2,23.50,29.50,5.70
AV 8362,543813,3,29.30,36.66,6.37
AV 8363,433210,4,39.10,48.22,6.95
AV 8364,433210,5,43.10,51.19,8.15
AV 8365,433210,6,35.00,43.18,8.15
AV 8366,392610,7,44.83,55.00,7.62
AV 8367,392610,8,37.08,47.00,7.62
AV 8368,392610,9,44.83,55.56,7.62
AV 8369,311310,10,37.08,47.62,7.62
AV 8370,392910,11,36.25,43.08,7.45
AV 8371,543313,12,32.30,39.08,7.45
AV 8372,311310,13,43.00,50.00,6.00
AV 8373,392910,14,32.70,38.70,6.50
AV 8374,543313,15,27.50,34.00,6.50
AV 8375,321810,16,42.00,52.40,9.50
AV 8376,321810,17,35.00,43.00,9.50
AV 8377,321810,18,31.00,37.02,7.80
AV 8378,372610,19,26.90,33.00,7.50
AV 8379,624710,20,37.00,43.00,6.00
AV 8380,452912,21,44.70,52.00,8.70
AV 8381,463210,22,42.70,50.86,8.10
AV 8382,352309,23,20.00,26.60,6.00
AV 8383,54389.5,24,45.00,55.10,9.00
AV 8384,372610,25,33.70,39.90,6.00
AV 8385,624710,26,34.00,41.40,7.00
AV 8386,452912,27,35.00,42.20,8.50
AV 8387,463210,28,31.00,36.20,8.50
AV 8388,352309,29,25.50,31.60,6.00
AV 8389,54389.5,30,45.00,56.75,9.80
AV 8390,463210,31,49.00,59.12,6.75
AV 8391,503112,32,44.50,54.11,6.75
AV 8392,503112,33,40.00,49.05,9.50
AV 8393,503112,34,37.50,46.08,6.15
AV 8394,503112,35,34.00,44.07,8.90
AV 8395,472812,36,23.00,29.85,6.20
AV 8396,543813,37,24.00,30.00,6.50
AV 8397,543813,38,23.00,28.84,5.90
AV 8398,433210,39,29.40,35.30,8.20
AV 8399,433210,40,34.00,42.15,7.00
AV 8400,433210,41,28.00,34.15,7.00
AV 8401,392610,42,36.70,42.95,4.53
AV 8402,392610,43,39.60,46.90,7.00
AV 8403,392610,44,38.00,47.07,6.90
AV 8404,311310,1,34.50,43.73,6.72
AV 8405,392910,2,44.50,54.00,8.20
AV 8406,543313,3,40.00,47.18,5.85
AV 8407,311310,4,40.50,48.70,6.00
AV 8408,392910,5,33.00,39.60,6.00
AV 8409,543313,6,43.00,50.92,11.40
AV 8410,321810,7,39.50,47.74,11.41
AV 8411,321810,8,26.00,30.50,8.00
AV 8412,321810,9,24.00,29.00,8.00
AV 8413,372610,10,36.20,41.60,6.20
AV 8414,624710,11,30.00,36.10,6.00
AV 8415,452912,12,35.80,43.00,8.00
AV 8416,463210,13,29.50,37.05,8.00
AV 8417,352309,14,26.00,32.15,7.00
AV 8418,54389.5,15,34.50,43.30,8.20
AV 8419,372610,16,44.10,53.14,7.30
AV 8420,624710,17,40.10,47.14,7.30
AV 8421,452912,18,48.00,59.07,9.00
AV 8422,463210,19,41.10,51.07,9.95
AV 8423,352309,20,35.50,44.20,7.20
AV 8424,54389.5,21,30.50,37.55,7.20
AV 8425,463210,22,36.30,44.15,8.00
AV 8426,503112,23,31.60,39.55,7.00
AV 8427,503112,24,34.60,42.07,8.00
AV 8428,503112,25,29.00,36.05,7.50
AV 8429,503112,26,30.00,36.65,8.00
AV 8430,472812,27,28.00,34.66,8.00
AV 8431,543813,28,27.20,32.35,8.00
AV 8432,543813,29,24.30,31.01,8.00
AV 8433,433210,30,28.00,33.57,6.60
AV 8434,433210,31,34.00,40.70,6.70
AV 8435,433210,32,32.50,41.40,8.00
AV 8436,392610,33,28.30,33.49,8.00
AV 8437,392610,34,34.90,41.23,6.50
AV 8438,392610,35,28.70,33.75,6.50
AV 8439,311310,36,31.50,38.10,6.50
AV 8440,392910,37,25.40,30.50,6.50
AV 8441,543313,38,28.00,36.50,7.00
AV 8442,311310,39,25.00,32.10,7.50
AV 8443,392910,40,32.90,38.95,7.50
AV 8444,543313,41,27.10,32.50,7.50
AV 8445,321810,42,31.50,35.70,7.50
AV 8446,321810,43,25.80,31.20,7.90
AV 8447,321810,44,33.00,41.20,6.50
AV 8448,372610,1,19.50,24.03,7.00
AV 8449,624710,2,39.00,48.00,8.30
AV 8450,452912,3,36.50,47.39,7.80
AV 8451,463210,4,34.30,43.09,8.00
AV 8452,352309,5,28.00,35.10,7.60
AV 8453,54389.5,6,31.00,40.07,8.00
AV 8454,372610,7,22.80,28.03,6.45
AV 8455,624710,8,27.50,33.62,6.00
AV 8456,452912,9,28.50,35.70,7.80
AV 8457,463210,10,25.00,30.70,6.80
AV 8458,352309,11,36.00,42.70,6.50
AV 8459,54389.5,12,30.00,36.15,8.00
AV 8460,463210,13,36.50,43.40,9.27
AV 8461,503112,14,37.00,45.87,8.30
AV 8462,503112,15,31.60,38.23,7.10
AV 8463,503112,16,38.75,45.70,6.00
AV 8464,503112,17,21.25,26.30,6.50
AV 8465,472812,18,20.15,25.35,6.50
AV 8466,543813,19,29.00,34.50,6.30
AV 8467,543813,20,23.50,30.10,6.30
AV 8468,433210,21,38.50,46.15,7.40
AV 8469,433210,22,34.40,43.10,7.40
AV 8470,433210,23,34.90,42.05,6.30
AV 8471,392610,24,28.70,33.53,5.00
AV 8472,392610,25,23.00,28.85,5.90
AV 8473,392610,26,30.00,37.10,7.00
AV 8474,311310,27,28.00,33.75,7.00
AV 8475,392910,28,32.50,38.75,7.00
AV 8476,543313,29,28.00,34.76,6.50
AV 8498,311310,30,14.40,21.06,5.50
AV 8499,392910,31,28.00,32.70,8.80
AV 8502,543313,32,31.80,35.60,5.70
AV 8503,321810,33,23.90,28.69,5.50
AV 8504,321810,34,39.40,47.21,6.50
AV 8505,321810,35,34.20,43.08,6.00
AV 8506,372610,36,28.10,34.50,6.00
AV 8507,624710,37,31.80,43.08,8.50
AV 8508,452912,38,33.00,43.07,8.00
AV 8509,463210,39,44.30,52.09,6.00
AV 8510,352309,40,36.70,49.09,6.00
AV 8511,54389.5,41,26.00,31.07,5.60
AV 8512,372610,42,24.00,29.86,5.60
AV 8513,624710,43,35.00,46.05,7.90
AV 8514,452912,44,35.00,44.09,8.55
AV 8515,463210,1,26.00,32.10,5.00
AV 8516,352309,2,22.00,27.10,5.00
AV 8517,54389.5,3,41.70,49.61,4.95
AV 8518,463210,4,42.93,50.95,5.46
AV 8519,503112,5,39.90,46.20,7.20
AV 8520,503112,6,34.50,41.35,6.30
AV 8521,503112,7,35.00,46.05,7.90
AV 8522,503112,8,35.00,44.09,8.55
AV 8523,472812,9,38.20,46.17,8.20
AV 8524,543813,10,31.20,39.17,8.20
AV 8525,543813,11,38.50,49.27,7.70
AV 8526,433210,12,38.50,47.07,7.80
AV 8527,433210,13,41.50,51.09,7.90
AV 8528,433210,14,36.00,44.06,8.30
AV 8530,392610,15,24.30,28.70,8.50
AV 8531,392610,16,30.00,37.25,4.50
AV 8532,392610,17,28.00,34.30,5.00
AV 8533,311310,18,35.40,43.58,6.05
AV 8534,392910,19,31.90,41.60,9.00
AV 8535,543313,20,33.00,39.75,6.00
AV 8536,311310,21,26.50,32.66,6.00
AV 8537,392910,22,35.00,42.25,7.00
AV 8538,543313,23,30.00,37.65,7.00
AV 8539,321810,24,35.00,48.00,7.00
AV 8540,321810,25,33.00,45.00,9.00
AV 8541,321810,26,36.80,46.02,5.00
AV 8542,372610,27,41.50,49.62,4.92
AV 8543,624710,28,41.72,49.61,5.49
AV 8544,452912,29,42.90,50.95,7.10
AV 8545,463210,30,39.52,47.62,6.10
AV 8546,352309,31,31.70,39.50,7.00
AV 8547,54389.5,32,28.00,35.01,5.80
AV 8548,372610,33,37.00,49.18,11.50
AV 8549,624710,34,33.75,42.78,6.80
AV 8550,452912,35,30.20,36.98,7.50
AV 8551,463210,36,39.00,49.10,7.50
AV 8552,352309,37,35.00,43.60,7.90
AV 8553,54389.5,38,38.65,47.57,6.60
AV 8554,463210,39,35.50,44.08,7.00
AV 8555,503112,40,31.00,38.11,6.50
AV 8556,503112,41,27.10,33.10,6.50
AV 8557,503112,42,30.50,36.50,6.00
AV 8558,503112,43,43.30,50.80,10.00
AV 8559,472812,44,34.00,41.30,9.50
AV 8560,543813,1,37.85,45.27,8.65
AV 8561,543813,2,31.94,39.01,9.10
AV 8562,433210,3,40.90,47.10,7.00
AV 8563,433210,4,32.70,39.10,7.00
AV 8564,433210,5,34.50,41.32,6.80
AV 8565,392610,6,30.50,36.82,7.00
AV 8566,392610,7,41.00,47.09,7.00
AV 8567,392610,8,33.00,39.09,7.00
AV 8568,311310,9,39.50,46.50,7.10
AV 8569,392910,10,36.30,43.00,6.30
AV 8570,543313,11,45.00,56.11,10.00
AV 8571,311310,12,36.00,46.11,10.00
AV 8572,392910,13,49.30,60.10,8.35
AV 8573,543313,14,43.00,53.10,9.20
AV 8574,321810,15,41.00,53.00,10.50
AV 8575,321810,16,34.86,47.66,9.55
AV 8576,321810,17,32.00,40.60,8.00
AV 8577,372610,18,26.50,33.10,8.00
AV 8578,624710,19,34.50,43.16,7.00
AV 8579,452912,20,30.80,36.10,7.00
AV 8580,463210,21,34.00,42.25,7.50
AV 8581,352309,22,31.00,37.50,7.50
AV 8582,54389.5,23,30.80,38.00,9.15
AV 8583,372610,24,28.45,36.00,9.15
AV 8584,624710,25,41.00,50.15,6.20
AV 8585,452912,26,31.90,41.60,9.00
AV 8586,463210,27,33.00,43.14,8.20
AV 8587,352309,28,32.00,43.14,7.50
AV 8588,54389.5,29,67.00,80.86,14.30
AV 8589,463210,30,67.00,80.86,13.55
AV 8590,503112,31,49.00,60.48,8.20
AV 8591,503112,32,51.40,60.48,8.20
AV 8592,503112,33,33.00,39.15,7.50
AV 8593,463210,34,27.00,32.71,7.50
AV 8595,503112,35,39.00,48.10,7.00
AV 8596,503112,36,31.20,39.30,7.50
AV 8597,503112,37,28.40,36.80,7.50
AV 8598,463210,38,26.00,31.15,6.00
AV 8599,503112,39,21.50,27.35,6.00
AV 8600,503112,40,27.00,34.11,6.00
AV 8601,503112,41,24.00,31.15,6.00