id,marca,modelo
1,FIAT,Mod. 600/750
2,FIAT,Mot. 1100cc/1300cc- Mod. 128 / 147
3,FIAT,Mot. 700-800
4,FIAT,Mod. Tractor 180-D90
5,FIAT,"Mod. Ducato - Daily - 2,5D - 2,5TD - Mot. 8140"
6,HONDA,Mod. CRV -16v
7,ISUZU,Mot 4BD/6BD1 Diesel
8,ISUZU,Mot 4JA1
9,JOHN DEERE,"Mot. 359"" - 5,9 Lts. - Mod. 6359D / 6359T - 6 Cil."
10,JOHN DEERE,Mot. 6359T - 2630 - 2640 - 4030 - 4400
11,JOHN DEERE,"Mot 549"" - 9,0 lts - Mod 6090 Power Tech plus - 6 cil - 24 val"
12,KIA,"Mod. Frontier - 2,7 cc."
13,MAZDA,Mot. WL
14,MERCEDES BENZ,Mot. OM 327 - OM 360 – OM 360H7
15,MITSUBISHI,Mod. L200 Turbo Diesel
16,NISSAN,Mot. PD6 - PE 6 -PD6T - PE6T
17,NISSAN,Mot. ED 30 - Mot. 3300Cc
18,NISSAN,Mod. CD 17 - Sentra 16 v.
19,NISSAN,"Frontier 2,5 - 16 Val"
20,PERKINS,Mot. 6-305/4-203/3-152 Adaptación
21,PERKINS,Mot. 6-358-V8 510
22,PEUGEOT,"Mot. 1,6/18. - Mod. 404 - 504"
23,PEUGEOT,Mot. INDENOR XD2 - DIESEL
24,PEUGEOT,Mot. INDENOR XD3 – TURBO DIESEL
25,PEUGEOT,"Mod. 405 GLD/GRD 1,9 TURBO, 306 XRD"
26,PEUGEOT,"Mod.106-205-206N Mot TU5JP 1,4/1,6"
27,RENAULT,Mod. R 19 - Express- Clio - Diesel - 1900cc
28,RENAULT,Mod. R18/R21 Trafic Diesel J8
29,RENAULT,"Mot. F9Q - 1,9 TD - Express - Megane - Clio II - Turbo Diesel"
30,RENAULT,Mod. R9 - R11 - Mot.1600cc.
31,RENAULT,Mod. Trafic Diesel - 2200 cc.
32,RENAULT,R 19 importado 1.7cc Nafta
33,RENAULT,R 9 - R 11- 1.4cc Nafta
34,RENAULT,Mot. K4M -1600cc - Mod Megane - Scenic - Clio - 16v
35,SCANIA,Mot. D10 - D11 -DS10-DS11 turbo- L111 turbo
36,SCANIA,Mod. DN11 New - 112
37,TOYOTA,Mod. Hilux Diesel
38,TOYOTA,Mod. Corolla 1600cc- 16v
39,TOYOTA,Toyota 3S
40,VOLKSWAGEN,Mod. Senda Diesel - Mot. 1600cc - 1800 cc
41,VOLKSWAGEN,Mod Gacel - Senda - Saveiro - Gol - 1600cc.
42,VOLKSWAGEN,Mot. AEB - 1800 cc. 16v.
43,VOLVO,Mod. TD100 A / F / G - Motores Turbo Alimentados - 9600cc
44,VOLVO,Mod TD 70 - A - B - C - F/N86 - 6730cc